conversation_id,conversation_text,attribute_count_normalized,average_specificity,maximum_specificity,high_specificity_ratio,sensitive_category_count_normalized,uniqueness_risk,risk_score,risk_level,attributes_json,contextual_indicators_json
ml_conv_0135,Here are some details: the relevant date is 14 March 2026; I have a ration card; I am young adult; my family includes parent.,0.8,0.7,0.8,0.5,0.2,0,4.277778,MEDIUM,"[{""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.62, ""confidence"": 0.92, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.71, ""confidence"": 0.93, ""source_message_id"": 2}, {""type"": ""AGE"", ""value"": ""young adult"", ""specificity"": 0.67, ""confidence"": 0.98, ""source_message_id"": 2}, {""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.8, ""confidence"": 0.96, ""source_message_id"": 3}]",[]
ml_conv_0136,"For context, I am 34; I live in Bengaluru.",0.4,0.27,0.28,0.0,0.0,0,1.211111,LOW,"[{""type"": ""AGE"", ""value"": ""34"", ""specificity"": 0.26, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Bengaluru"", ""specificity"": 0.28, ""confidence"": 0.96, ""source_message_id"": 2}]",[]
ml_conv_0137,A few details about me: I visited health centre; my family includes single parent.,0.4,0.615,0.63,0.0,0.2,0,2.622222,LOW,"[{""type"": ""FACILITY"", ""value"": ""health centre"", ""specificity"": 0.63, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""single parent"", ""specificity"": 0.6, ""confidence"": 0.9, ""source_message_id"": 1}]",[]
ml_conv_0138,Here are some details: I work as a student; I have a ration card.,0.4,0.525,0.53,0.0,0.0,0,1.911111,LOW,"[{""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.53, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.52, ""confidence"": 0.98, ""source_message_id"": 1}]",[]
ml_conv_0139,My situation is that I am the only person matching these details: I am 41; I have a government identification number; I have chronic kidney disease; I identify as man; I live in Karnataka. The appointment was recorded in the local clinic register.,1.0,0.868,0.96,0.8,0.2,1.0,7.675556,HIGH,"[{""type"": ""AGE"", ""value"": ""41"", ""specificity"": 0.8, ""confidence"": 0.92, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.95, ""confidence"": 0.9, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""chronic kidney disease"", ""specificity"": 0.96, ""confidence"": 0.89, ""source_message_id"": 3}, {""type"": ""GENDER"", ""value"": ""man"", ""specificity"": 0.69, ""confidence"": 0.94, ""source_message_id"": 3}, {""type"": ""LOCATION"", ""value"": ""Karnataka"", ""specificity"": 0.94, ""confidence"": 0.98, ""source_message_id"": 2}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0140,Yesterday I mentioned that I have financial difficulty.,0.2,0.06,0.06,0.0,0.2,0,0.833333,LOW,"[{""type"": ""FINANCIAL"", ""value"": ""financial difficulty"", ""specificity"": 0.06, ""confidence"": 0.94, ""source_message_id"": 1}]",[]
ml_conv_0141,"For context, I visited health centre; I live in Karnataka; I have a ration card; I identify as nonbinary adult; my family includes single parent; I have medical debt; the relevant date is 2 January 2025; my contact is a mobile number. The appointment was recorded in the local clinic register.",1.0,0.80875,0.96,0.75,0.4,0,5.748611,MEDIUM,"[{""type"": ""FACILITY"", ""value"": ""health centre"", ""specificity"": 0.84, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Karnataka"", ""specificity"": 0.74, ""confidence"": 0.89, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.96, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.87, ""confidence"": 0.91, ""source_message_id"": 4}, {""type"": ""FAMILY"", ""value"": ""single parent"", ""specificity"": 0.67, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.88, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.65, ""confidence"": 0.88, ""source_message_id"": 3}, {""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.86, ""confidence"": 0.96, ""source_message_id"": 3}]",[]
ml_conv_0142,A few details about me: I identify as man; I visited PHC Y; I have medical debt; I live in Village Y.,0.8,0.565,0.76,0.25,0.2,0.6,4.977778,MEDIUM,"[{""type"": ""GENDER"", ""value"": ""man"", ""specificity"": 0.47, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""PHC Y"", ""specificity"": 0.58, ""confidence"": 0.93, ""source_message_id"": 2}, {""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.76, ""confidence"": 0.89, ""source_message_id"": 2}, {""type"": ""LOCATION"", ""value"": ""Village Y"", ""specificity"": 0.45, ""confidence"": 0.92, ""source_message_id"": 3}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0143,"For context, I live in Ward 14 in Jaipur; I visited PHC Y. After work I walked through the park and called a friend.",0.4,0.41000000000000003,0.5,0.0,0.0,0,1.733333,LOW,"[{""type"": ""LOCATION"", ""value"": ""Ward 14 in Jaipur"", ""specificity"": 0.32, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""PHC Y"", ""specificity"": 0.5, ""confidence"": 0.95, ""source_message_id"": 1}]",[]
ml_conv_0144,A few details about me: I am the only person matching these details: I have financial difficulty; I have a government identification number; I identify as woman.,0.6,0.7833333333333333,0.86,0.6666666666666666,0.2,1.0,6.748148,HIGH,"[{""type"": ""FINANCIAL"", ""value"": ""financial difficulty"", ""specificity"": 0.86, ""confidence"": 0.9, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.8, ""confidence"": 0.97, ""source_message_id"": 2}, {""type"": ""GENDER"", ""value"": ""woman"", ""specificity"": 0.69, ""confidence"": 0.92, ""source_message_id"": 3}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0145,Here are some details: the relevant date is this week; I have asthma.,0.4,0.45999999999999996,0.51,0.0,0.2,0,2.25,LOW,"[{""type"": ""DATE"", ""value"": ""this week"", ""specificity"": 0.51, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.41, ""confidence"": 0.89, ""source_message_id"": 2}]",[]
ml_conv_0146,My situation is that the relevant date is this week; I have health problems.,0.4,0.755,0.84,0.5,0.2,0,3.961111,MEDIUM,"[{""type"": ""DATE"", ""value"": ""this week"", ""specificity"": 0.84, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""health problems"", ""specificity"": 0.67, ""confidence"": 0.96, ""source_message_id"": 2}]",[]
ml_conv_0147,A few details about me: I am the only person matching these details: I work as a software engineer; I have a government identification number; I have a rare blood disorder; the relevant date is this week; I visited district clinic.,1.0,0.8539999999999999,0.98,1.0,0.2,1.0,8.026667,HIGH,"[{""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.85, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.98, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""a rare blood disorder"", ""specificity"": 0.74, ""confidence"": 0.92, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""this week"", ""specificity"": 0.75, ""confidence"": 0.96, ""source_message_id"": 3}, {""type"": ""FACILITY"", ""value"": ""district clinic"", ""specificity"": 0.95, ""confidence"": 0.91, ""source_message_id"": 2}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0148,A few details about me: I am the only person matching these details: my family includes elderly dependent; I have asthma; I work as a student.,0.6,0.8533333333333334,0.94,1.0,0.4,1.0,7.959259,HIGH,"[{""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.73, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.94, ""confidence"": 0.98, ""source_message_id"": 2}, {""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.89, ""confidence"": 0.91, ""source_message_id"": 1}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0149,My situation is that I am the only person matching these details: I have diabetes; I live in Village Y; the relevant date is yesterday; my contact is a phone ending in 4421; I have a government identification number.,1.0,0.8240000000000001,0.95,1.0,0.2,1.0,7.943333,HIGH,"[{""type"": ""HEALTH"", ""value"": ""diabetes"", ""specificity"": 0.8, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Village Y"", ""specificity"": 0.84, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""DATE"", ""value"": ""yesterday"", ""specificity"": 0.79, ""confidence"": 0.98, ""source_message_id"": 3}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.74, ""confidence"": 0.99, ""source_message_id"": 3}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.95, ""confidence"": 0.93, ""source_message_id"": 4}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}, {""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0150,Yesterday I mentioned that my family includes single parent; I visited City Hospital; my contact is a mobile number; I work as a student; the relevant date is 2 January 2025.,1.0,0.65,0.83,0.6,0.2,0,4.661111,MEDIUM,"[{""type"": ""FAMILY"", ""value"": ""single parent"", ""specificity"": 0.37, ""confidence"": 0.88, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.75, ""confidence"": 0.91, ""source_message_id"": 2}, {""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.83, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.73, ""confidence"": 0.98, ""source_message_id"": 2}, {""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.57, ""confidence"": 0.91, ""source_message_id"": 1}]",[]
ml_conv_0151,Here are some details: I live in Bengaluru; my family includes parent; I visited district clinic.,0.6,0.5233333333333333,0.7,0.3333333333333333,0.2,0,3.414815,MEDIUM,"[{""type"": ""LOCATION"", ""value"": ""Bengaluru"", ""specificity"": 0.41, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.46, ""confidence"": 0.91, ""source_message_id"": 2}, {""type"": ""FACILITY"", ""value"": ""district clinic"", ""specificity"": 0.7, ""confidence"": 0.97, ""source_message_id"": 2}]",[]
ml_conv_0152,My situation is that I visited City Hospital; I am 57; the relevant date is this week; I work as a teacher; I live in Village X.,1.0,0.526,0.79,0.2,0.0,0.6,4.678889,MEDIUM,"[{""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.5, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""57"", ""specificity"": 0.41, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""this week"", ""specificity"": 0.42, ""confidence"": 0.98, ""source_message_id"": 3}, {""type"": ""OCCUPATION"", ""value"": ""teacher"", ""specificity"": 0.79, ""confidence"": 0.89, ""source_message_id"": 4}, {""type"": ""LOCATION"", ""value"": ""Village X"", ""specificity"": 0.51, ""confidence"": 0.97, ""source_message_id"": 2}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0153,My situation is that I am the only person matching these details: I am adult; I visited City Hospital; I have a government identification number; I have asthma; my family includes parent; I work as a software engineer.,1.0,0.805,0.99,1.0,0.4,1.0,8.433333,HIGH,"[{""type"": ""AGE"", ""value"": ""adult"", ""specificity"": 0.76, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.9, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.73, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.73, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.72, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.99, ""confidence"": 0.93, ""source_message_id"": 1}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0154,A few details about me: I identify as nonbinary adult; I work as a software engineer; I am 41; my family includes elderly dependent.,0.8,0.8375,0.97,0.75,0.2,0,5.130556,MEDIUM,"[{""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.97, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.66, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""41"", ""specificity"": 0.76, ""confidence"": 0.97, ""source_message_id"": 2}, {""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.96, ""confidence"": 0.94, ""source_message_id"": 4}]",[]
ml_conv_0155,Yesterday I mentioned that my family includes elderly dependent; my contact is a phone ending in 4421. After work I walked through the park and called a friend.,0.4,0.275,0.36,0.0,0.2,0,1.794444,LOW,"[{""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.19, ""confidence"": 0.9, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.36, ""confidence"": 0.94, ""source_message_id"": 1}]",[]
ml_conv_0156,"For context, I live in Bengaluru.",0.2,0.59,0.59,0.0,0.0,0,1.861111,LOW,"[{""type"": ""LOCATION"", ""value"": ""Bengaluru"", ""specificity"": 0.59, ""confidence"": 0.91, ""source_message_id"": 1}]",[]
ml_conv_0157,Here are some details: I work as a student; my contact is a mobile number; I live in Mysuru.,0.6,0.8166666666666668,0.86,1.0,0.0,0,4.674074,MEDIUM,"[{""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.81, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.78, ""confidence"": 0.9, ""source_message_id"": 2}, {""type"": ""LOCATION"", ""value"": ""Mysuru"", ""specificity"": 0.86, ""confidence"": 0.98, ""source_message_id"": 1}]",[]
ml_conv_0158,My situation is that I am the only person matching these details: my family includes single parent; I identify as nonbinary adult; I live in Karnataka; I am young adult; I visited City Hospital; I have a government identification number; the relevant date is 14 March 2026.,1.0,0.87,0.97,0.8571428571428571,0.2,1.0,7.789683,HIGH,"[{""type"": ""FAMILY"", ""value"": ""single parent"", ""specificity"": 0.91, ""confidence"": 0.92, ""source_message_id"": 1}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.78, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""LOCATION"", ""value"": ""Karnataka"", ""specificity"": 0.66, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""young adult"", ""specificity"": 0.97, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.89, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.96, ""confidence"": 0.9, ""source_message_id"": 3}, {""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.92, ""confidence"": 0.93, ""source_message_id"": 4}]","[{""indicator"": ""exact_age"", ""attribute_type"": ""AGE""}, {""indicator"": ""exact_date"", ""attribute_type"": ""DATE""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0159,Yesterday I mentioned that I work as a student; my family includes two children; I have a government identification number; I identify as nonbinary adult; my contact is a mobile number.,1.0,0.642,0.71,0.4,0.2,0,4.118889,MEDIUM,"[{""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.56, ""confidence"": 0.88, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""two children"", ""specificity"": 0.63, ""confidence"": 0.92, ""source_message_id"": 2}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.71, ""confidence"": 0.9, ""source_message_id"": 3}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.61, ""confidence"": 0.96, ""source_message_id"": 4}, {""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.7, ""confidence"": 0.89, ""source_message_id"": 1}]",[]
ml_conv_0160,My situation is that I am 29; I work as a software engineer; I have medical debt; I visited district clinic.,0.8,0.5,0.59,0.0,0.2,0,2.872222,LOW,"[{""type"": ""AGE"", ""value"": ""29"", ""specificity"": 0.37, ""confidence"": 0.89, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.55, ""confidence"": 0.97, ""source_message_id"": 2}, {""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.49, ""confidence"": 0.88, ""source_message_id"": 3}, {""type"": ""FACILITY"", ""value"": ""district clinic"", ""specificity"": 0.59, ""confidence"": 0.92, ""source_message_id"": 2}]",[]
ml_conv_0161,Yesterday I mentioned that I am the only person matching these details: I am 57; I work as a farm worker; I have a small loan; I identify as woman.,0.8,0.7949999999999999,0.94,0.5,0.2,1.0,6.838889,HIGH,"[{""type"": ""AGE"", ""value"": ""57"", ""specificity"": 0.69, ""confidence"": 0.89, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""farm worker"", ""specificity"": 0.89, ""confidence"": 0.96, ""source_message_id"": 2}, {""type"": ""FINANCIAL"", ""value"": ""a small loan"", ""specificity"": 0.94, ""confidence"": 0.9, ""source_message_id"": 2}, {""type"": ""GENDER"", ""value"": ""woman"", ""specificity"": 0.66, ""confidence"": 0.96, ""source_message_id"": 2}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0162,Yesterday I mentioned that I live in Village Y; my family includes elderly dependent. After work I walked through the park and called a friend.,0.4,0.44999999999999996,0.57,0.0,0.2,0.6,3.672222,MEDIUM,"[{""type"": ""LOCATION"", ""value"": ""Village Y"", ""specificity"": 0.57, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.33, ""confidence"": 0.93, ""source_message_id"": 2}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0163,A few details about me: my family includes parent; my contact is a mobile number; I visited City Hospital; I live in Village Y; the relevant date is 2 January 2025.,1.0,0.438,0.53,0.0,0.2,0.6,4.258889,MEDIUM,"[{""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.41, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.37, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.53, ""confidence"": 0.94, ""source_message_id"": 3}, {""type"": ""LOCATION"", ""value"": ""Village Y"", ""specificity"": 0.38, ""confidence"": 0.9, ""source_message_id"": 2}, {""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.5, ""confidence"": 0.98, ""source_message_id"": 4}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0164,"For context, I live in India. The bus was late, so I listened to music while waiting.",0.2,0.3,0.3,0.0,0.0,0,1.055556,LOW,"[{""type"": ""LOCATION"", ""value"": ""India"", ""specificity"": 0.3, ""confidence"": 0.9, ""source_message_id"": 1}]",[]
ml_conv_0165,A few details about me: I am 41; I live in India; I have a ration card; the relevant date is 14 March 2026.,0.8,0.6575,0.81,0.75,0.0,0,4.219444,MEDIUM,"[{""type"": ""AGE"", ""value"": ""41"", ""specificity"": 0.71, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""India"", ""specificity"": 0.81, ""confidence"": 0.98, ""source_message_id"": 2}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.4, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.71, ""confidence"": 0.88, ""source_message_id"": 2}]",[]
ml_conv_0166,Here are some details: I identify as nonbinary adult.,0.2,0.43,0.43,0.0,0.0,0,1.416667,LOW,"[{""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.43, ""confidence"": 0.92, ""source_message_id"": 1}]",[]
ml_conv_0167,A few details about me: I have medical debt; I have asthma; the relevant date is 14 March 2026; my contact is a phone ending in 4421; I work as a shopkeeper.,1.0,0.5700000000000001,0.76,0.4,0.4,0,4.566667,MEDIUM,"[{""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.4, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.72, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.56, ""confidence"": 0.89, ""source_message_id"": 3}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.41, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""OCCUPATION"", ""value"": ""shopkeeper"", ""specificity"": 0.76, ""confidence"": 0.93, ""source_message_id"": 1}]",[]
ml_conv_0168,Here are some details: I work as a software engineer.,0.2,0.18,0.18,0.0,0.0,0,0.722222,LOW,"[{""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.18, ""confidence"": 0.89, ""source_message_id"": 1}]",[]
ml_conv_0169,A few details about me: I have a ration card; I work as a teacher.,0.4,0.5,0.62,0.0,0.0,0,2.033333,LOW,"[{""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.62, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""teacher"", ""specificity"": 0.38, ""confidence"": 0.9, ""source_message_id"": 1}]",[]
ml_conv_0170,Yesterday I mentioned that my family includes parent; I have a government identification number; the relevant date is 14 March 2026.,0.6,0.6666666666666666,0.76,0.3333333333333333,0.2,0,3.674074,MEDIUM,"[{""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.69, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.55, ""confidence"": 0.89, ""source_message_id"": 2}, {""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.76, ""confidence"": 0.94, ""source_message_id"": 3}]",[]
ml_conv_0171,Yesterday I mentioned that I live in small village near Pune.,0.2,0.5,0.5,0.0,0.0,0.6,2.944444,LOW,"[{""type"": ""LOCATION"", ""value"": ""small village near Pune"", ""specificity"": 0.5, ""confidence"": 0.97, ""source_message_id"": 1}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0172,Here are some details: my contact is a phone ending in 4421; I live in India.,0.4,0.285,0.36,0.0,0.0,0,1.361111,LOW,"[{""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.21, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""India"", ""specificity"": 0.36, ""confidence"": 0.88, ""source_message_id"": 1}]",[]
ml_conv_0173,Yesterday I mentioned that I am the only person matching these details: my family includes parent; I live in Mysuru; the relevant date is 14 March 2026; I have a ration card; I work as a shopkeeper. Only a few people in the area know these details about me.,1.0,0.8300000000000001,0.95,1.0,0.2,1.0,7.95,HIGH,"[{""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.8, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Mysuru"", ""specificity"": 0.71, ""confidence"": 0.98, ""source_message_id"": 2}, {""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.9, ""confidence"": 0.88, ""source_message_id"": 3}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.79, ""confidence"": 0.9, ""source_message_id"": 2}, {""type"": ""OCCUPATION"", ""value"": ""shopkeeper"", ""specificity"": 0.95, ""confidence"": 0.96, ""source_message_id"": 3}]","[{""indicator"": ""exact_date"", ""attribute_type"": ""DATE""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0174,My situation is that I live in small village near Pune.,0.2,0.12,0.12,0.0,0.0,0.6,1.888889,LOW,"[{""type"": ""LOCATION"", ""value"": ""small village near Pune"", ""specificity"": 0.12, ""confidence"": 0.92, ""source_message_id"": 1}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0175,"For context, the relevant date is this week.",0.2,0.27,0.27,0.0,0.0,0,0.972222,LOW,"[{""type"": ""DATE"", ""value"": ""this week"", ""specificity"": 0.27, ""confidence"": 0.9, ""source_message_id"": 1}]",[]
ml_conv_0176,"For context, I am the only person matching these details: my family includes elderly dependent; I work as a teacher; I am 29; I have a government identification number. I had already discussed the matter with the district office.",0.8,0.8325,0.93,1.0,0.2,1.0,7.697222,HIGH,"[{""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.7, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""teacher"", ""specificity"": 0.79, ""confidence"": 0.92, ""source_message_id"": 2}, {""type"": ""AGE"", ""value"": ""29"", ""specificity"": 0.91, ""confidence"": 0.97, ""source_message_id"": 3}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.93, ""confidence"": 0.88, ""source_message_id"": 3}]","[{""indicator"": ""exact_age"", ""attribute_type"": ""AGE""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0177,Hi,0.0,0.0,0.0,0.0,0.0,0,0.0,LOW,[],[]
